dataset,model,seed,degradation,severity,trust_signal,performance_signal,confidence_signal,rule_channel,rule,rule_label,deterioration_value,caution_threshold,do_not_trust_threshold,rule_signal,triggered,is_channel_driver,is_overall_driver,gap_direction,validation_split,validation_track_hash,track_overlap
GTSRB,GTSRBCNN,42,blur,4,do_not_trust,do_not_trust,do_not_trust,confidence,ece_increase,ECE increase,0.09512247067543599,0.03,0.08,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,4,do_not_trust,do_not_trust,do_not_trust,confidence,fixed_hcer_increase,fixed HCER increase,0.046159936658749005,0.02,0.07,caution,True,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,4,do_not_trust,do_not_trust,do_not_trust,confidence,gap_deterioration,confidence gap deterioration,0.095122470675436,0.05,0.12,caution,True,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,4,do_not_trust,do_not_trust,do_not_trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.1524148851939826,0.05,0.15,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,4,do_not_trust,do_not_trust,do_not_trust,performance,relative_error_increase,relative error increase,1.165254237288136,1.0,3.0,caution,True,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,5,do_not_trust,do_not_trust,do_not_trust,confidence,ece_increase,ECE increase,0.12563091689574762,0.03,0.08,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,5,do_not_trust,do_not_trust,do_not_trust,confidence,fixed_hcer_increase,fixed HCER increase,0.061124307205067306,0.02,0.07,caution,True,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,5,do_not_trust,do_not_trust,do_not_trust,confidence,gap_deterioration,confidence gap deterioration,0.1256226046953236,0.05,0.12,do_not_trust,True,True,True,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,5,do_not_trust,do_not_trust,do_not_trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.2061757719714965,0.05,0.15,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,blur,5,do_not_trust,do_not_trust,do_not_trust,performance,relative_error_increase,relative error increase,1.5762711864406787,1.0,3.0,caution,True,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,1,caution,caution,caution,confidence,ece_increase,ECE increase,0.0489468625303497,0.03,0.08,caution,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,1,caution,caution,caution,confidence,fixed_hcer_increase,fixed HCER increase,0.012430720506729998,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,1,caution,caution,caution,confidence,gap_deterioration,confidence gap deterioration,0.048946862530349605,0.05,0.12,trust,False,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,1,caution,caution,caution,performance,absolute_accuracy_drop,absolute accuracy drop,0.09366587490102929,0.05,0.15,caution,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,1,caution,caution,caution,performance,relative_error_increase,relative error increase,0.7161016949152543,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,2,do_not_trust,do_not_trust,do_not_trust,confidence,ece_increase,ECE increase,0.20911861349100747,0.03,0.08,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,2,do_not_trust,do_not_trust,do_not_trust,confidence,fixed_hcer_increase,fixed HCER increase,0.1046714172604909,0.02,0.07,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,2,do_not_trust,do_not_trust,do_not_trust,confidence,gap_deterioration,confidence gap deterioration,0.20911861349100738,0.05,0.12,do_not_trust,True,True,True,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,2,do_not_trust,do_not_trust,do_not_trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.28701504354711005,0.05,0.15,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,2,do_not_trust,do_not_trust,do_not_trust,performance,relative_error_increase,relative error increase,2.1943099273607753,1.0,3.0,caution,True,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,3,do_not_trust,do_not_trust,do_not_trust,confidence,ece_increase,ECE increase,0.3149111286077062,0.03,0.08,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,3,do_not_trust,do_not_trust,do_not_trust,confidence,fixed_hcer_increase,fixed HCER increase,0.1534441805225653,0.02,0.07,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,3,do_not_trust,do_not_trust,do_not_trust,confidence,gap_deterioration,confidence gap deterioration,0.3148070900806432,0.05,0.12,do_not_trust,True,True,True,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,3,do_not_trust,do_not_trust,do_not_trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.4247822644497229,0.05,0.15,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,3,do_not_trust,do_not_trust,do_not_trust,performance,relative_error_increase,relative error increase,3.2475786924939474,1.0,3.0,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,4,do_not_trust,do_not_trust,do_not_trust,confidence,ece_increase,ECE increase,0.35751933880557357,0.03,0.08,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,4,do_not_trust,do_not_trust,do_not_trust,confidence,fixed_hcer_increase,fixed HCER increase,0.14774346793349172,0.02,0.07,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,4,do_not_trust,do_not_trust,do_not_trust,confidence,gap_deterioration,confidence gap deterioration,0.35747719234709496,0.05,0.12,do_not_trust,True,True,True,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,4,do_not_trust,do_not_trust,do_not_trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.5101346001583531,0.05,0.15,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,4,do_not_trust,do_not_trust,do_not_trust,performance,relative_error_increase,relative error increase,3.9001210653753033,1.0,3.0,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,5,do_not_trust,do_not_trust,do_not_trust,confidence,ece_increase,ECE increase,0.39220453387366727,0.03,0.08,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,5,do_not_trust,do_not_trust,do_not_trust,confidence,fixed_hcer_increase,fixed HCER increase,0.1293745051464766,0.02,0.07,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,5,do_not_trust,do_not_trust,do_not_trust,confidence,gap_deterioration,confidence gap deterioration,0.39220453387366716,0.05,0.12,do_not_trust,True,True,True,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
