dataset,seed,degradation,severity,baseline_model,stronger_model,true_label,true_class_count,baseline_correct_count,stronger_correct_count,baseline_recall,stronger_recall,recall_delta_stronger_minus_baseline,higher_recall_model,baseline_share_of_all_correct,stronger_share_of_all_correct,baseline_correct_contribution_rank,stronger_correct_contribution_rank,baseline_predicted_count,stronger_predicted_count,baseline_prediction_share,stronger_prediction_share,baseline_prediction_rank,stronger_prediction_rank,validation_split,validation_track_hash,track_overlap
GTSRB,42,none,0,GTSRBCNN,ResNet18,15,210,210,210,1.0,1.0,0.0,tie,0.019129167425760613,0.01740139211136891,19,20,224,211,0.017735550277117974,0.016706254948535233,20,20,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,16,150,128,145,0.8533333333333334,0.9666666666666667,0.11333333333333329,ResNet18,0.011659683002368373,0.012015246934040437,23,24,141,149,0.011163895486935867,0.011797307996832937,25,25,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,17,360,323,346,0.8972222222222223,0.9611111111111111,0.06388888888888888,ResNet18,0.02942248132628894,0.02867086509777925,16,17,326,346,0.025811559778305623,0.0273950910530483,17,17,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,18,390,294,360,0.7538461538461538,0.9230769230769231,0.1692307692307693,ResNet18,0.026780834396064858,0.029830957905203844,17,15,350,375,0.027711797307996833,0.029691211401425176,16,15,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,19,60,53,60,0.8833333333333333,1.0,0.1166666666666667,ResNet18,0.0048278374931681545,0.004971826317533974,37,38,70,77,0.0055423594615993665,0.0060965954077593035,38,37,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,20,90,89,90,0.9888888888888889,1.0,0.011111111111111072,ResNet18,0.00810712333758426,0.007457739476300961,30,31,183,95,0.014489311163895487,0.007521773555027712,23,31,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,21,90,54,75,0.6,0.8333333333333334,0.2333333333333334,ResNet18,0.004918928766624158,0.006214782896917468,36,37,81,75,0.006413301662707839,0.0059382422802850355,35,39,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,22,120,104,107,0.8666666666666667,0.8916666666666667,0.025000000000000022,ResNet18,0.009473492439424303,0.008866423599602253,26,30,107,107,0.008471892319873317,0.008471892319873317,29,30,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,23,150,91,150,0.6066666666666667,1.0,0.3933333333333333,ResNet18,0.008289305884496265,0.012429565793834935,28,23,103,157,0.008155186064924783,0.012430720506730008,30,23,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,24,90,48,83,0.5333333333333333,0.9222222222222223,0.38888888888888895,ResNet18,0.00437238112588814,0.006877693072588664,39,35,48,83,0.003800475059382423,0.006571654790182106,42,36,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,25,480,415,465,0.8645833333333334,0.96875,0.10416666666666663,ResNet18,0.03780287848424121,0.0385316539608883,10,9,556,478,0.0440221694378464,0.03784639746634996,9,10,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,26,180,177,167,0.9833333333333333,0.9277777777777778,-0.05555555555555547,GTSRBCNN,0.016123155401712518,0.013838249917136228,22,22,226,204,0.01789390340459224,0.016152019002375298,19,22,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,27,60,45,60,0.75,1.0,0.25,ResNet18,0.004099107305520131,0.004971826317533974,40,39,45,76,0.0035629453681710215,0.006017418844022169,43,38,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,28,150,103,145,0.6866666666666666,0.9666666666666667,0.28,ResNet18,0.0093824011659683,0.012015246934040437,27,25,126,152,0.009976247030878859,0.012034837688044338,26,24,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,29,90,83,90,0.9222222222222223,1.0,0.07777777777777772,ResNet18,0.007560575696848242,0.007457739476300961,31,32,117,91,0.009263657957244655,0.007205067300079177,28,32,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,30,150,55,120,0.36666666666666664,0.8,0.4333333333333334,ResNet18,0.00501002004008016,0.009943652635067949,35,27,91,122,0.007205067300079177,0.009659540775930325,32,27,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,31,270,205,262,0.7592592592592593,0.9703703703703703,0.21111111111111103,ResNet18,0.018673711058480598,0.021710308253231687,20,19,213,265,0.0168646080760095,0.02098178939034046,21,19,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,32,60,50,46,0.8333333333333334,0.7666666666666667,-0.06666666666666665,GTSRBCNN,0.004554563672800146,0.0038117335101093804,38,43,77,50,0.0060965954077593035,0.00395882818685669,36,43,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
