model,accuracy,mean_confidence,confidence_accuracy_gap,hcer_fixed,hcer_fixed_coverage,hcer_fixed_conditional_error,failure_detection_auroc,top_10_confidence_accuracy
GTSRBCNN,0.2832937450514647,0.750585960549017,0.4672922154975523,0.1741884402216943,0.3707838479809976,0.4697843262865684,0.7957756093789636,0.861441013460016
ResNet18,0.2801266825019794,0.5738647136592431,0.2937380311572636,0.0256532066508313,0.2053840063341251,0.1249036237471087,0.8664029366786897,0.988915281076802
