model,validation_accuracy,validation_balanced_accuracy,training_seconds,peak_process_memory_mib,parameter_count,trainable_parameter_count,checkpoint_size_mib,device,seed,pretrained_weights,training_strategy,validation_track_hash
ResNet18,0.9694235588972431,0.9636821705426356,2007.07,642.2109375,11198571,11198571,42.79496765136719,cpu,42,IMAGENET1K_V1,full_finetune,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8
MobileNetV2,0.9822055137844612,0.9629032853451457,6800.25,788.63671875,2278955,2278955,8.927101135253906,cpu,42,IMAGENET1K_V1,full_finetune,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8
